2024-08-29 23:28:46.834 | INFO     | __main__:<module>:13 - 日志创建成功,程序开始
2024-08-29 23:28:49.465 | INFO     | __main__:<module>:22 - 摄像头测试正常
2024-08-29 23:29:41.935 | INFO     | __main__:<module>:13 - 日志创建成功,程序开始
2024-08-29 23:29:44.548 | INFO     | __main__:<module>:22 - 摄像头测试正常
2024-08-29 23:29:49.220 | INFO     | __main__:<module>:26 - yolov5s模型加载成功
2024-08-29 23:29:49.538 | INFO     | __main__:<module>:28 - openpose模型加载成功
2024-08-29 23:40:55.933 | INFO     | __main__:<module>:13 - 日志创建成功,程序开始
2024-08-29 23:40:58.555 | INFO     | __main__:<module>:22 - 摄像头测试正常
2024-08-29 23:41:04.160 | INFO     | __main__:<module>:26 - yolov5s模型加载成功
2024-08-29 23:41:04.484 | INFO     | __main__:<module>:28 - openpose模型加载成功
2024-08-29 23:41:04.487 | INFO     | __main__:<module>:30 - 进行人工对位5秒钟时间
2024-08-29 23:41:54.551 | INFO     | __main__:<module>:13 - 日志创建成功,程序开始
2024-08-29 23:41:57.060 | INFO     | __main__:<module>:22 - 摄像头测试正常
2024-08-29 23:41:57.060 | INFO     | __main__:<module>:26 - yolov5s模型加载成功
2024-08-29 23:41:57.060 | INFO     | __main__:<module>:28 - openpose模型加载成功
2024-08-29 23:41:57.060 | INFO     | __main__:<module>:30 - 进行人工对位5秒钟时间
2024-08-29 23:43:07.869 | INFO     | __main__:<module>:13 - 日志创建成功,程序开始
2024-08-29 23:43:10.556 | INFO     | __main__:<module>:22 - 摄像头测试正常
2024-08-29 23:43:10.556 | INFO     | __main__:<module>:26 - yolov5s模型加载成功
2024-08-29 23:43:10.560 | INFO     | __main__:<module>:28 - openpose模型加载成功
2024-08-29 23:43:10.560 | INFO     | __main__:<module>:30 - 进行人工对位5秒钟时间
2024-08-29 23:45:07.106 | INFO     | __main__:<module>:13 - 日志创建成功,程序开始
2024-08-29 23:45:09.662 | INFO     | __main__:<module>:22 - 摄像头测试正常
2024-08-29 23:45:09.663 | INFO     | __main__:<module>:26 - yolov5s模型加载成功
2024-08-29 23:45:09.663 | INFO     | __main__:<module>:28 - openpose模型加载成功
2024-08-29 23:45:09.663 | INFO     | __main__:<module>:30 - 进行人工对位5秒钟时间
2024-08-29 23:45:23.361 | INFO     | __main__:<module>:40 - 开始进行初始化动作骨骼识别
2024-08-29 23:46:34.434 | INFO     | __main__:<module>:13 - 日志创建成功,程序开始
2024-08-29 23:46:36.976 | INFO     | __main__:<module>:22 - 摄像头测试正常
2024-08-29 23:46:36.976 | INFO     | __main__:<module>:26 - yolov5s模型加载成功
2024-08-29 23:46:36.977 | INFO     | __main__:<module>:28 - openpose模型加载成功
2024-08-29 23:46:36.977 | INFO     | __main__:<module>:30 - 进行人工对位5秒钟时间
2024-08-29 23:47:42.842 | INFO     | __main__:<module>:13 - 日志创建成功,程序开始
2024-08-29 23:47:45.148 | INFO     | __main__:<module>:22 - 摄像头测试正常
2024-08-29 23:47:45.149 | INFO     | __main__:<module>:26 - yolov5s模型加载成功
2024-08-29 23:47:45.149 | INFO     | __main__:<module>:28 - openpose模型加载成功
2024-08-29 23:47:45.149 | INFO     | __main__:<module>:30 - 进行人工对位5秒钟时间
2024-08-29 23:47:52.060 | INFO     | __main__:<module>:41 - 开始进行初始化动作骨骼识别
2024-08-29 23:49:11.891 | INFO     | __main__:<module>:13 - 日志创建成功,程序开始
2024-08-29 23:49:14.478 | INFO     | __main__:<module>:22 - 摄像头测试正常
2024-08-29 23:49:14.479 | INFO     | __main__:<module>:26 - yolov5s模型加载成功
2024-08-29 23:49:14.479 | INFO     | __main__:<module>:28 - openpose模型加载成功
2024-08-29 23:49:14.479 | INFO     | __main__:<module>:30 - 进行人工对位5秒钟时间
2024-08-29 23:50:33.889 | INFO     | __main__:<module>:13 - 日志创建成功,程序开始
2024-08-29 23:50:36.471 | INFO     | __main__:<module>:22 - 摄像头测试正常
2024-08-29 23:50:36.471 | INFO     | __main__:<module>:26 - yolov5s模型加载成功
2024-08-29 23:50:36.471 | INFO     | __main__:<module>:28 - openpose模型加载成功
2024-08-29 23:50:36.472 | INFO     | __main__:<module>:30 - 进行人工对位5秒钟时间
2024-08-29 23:50:42.804 | INFO     | __main__:<module>:13 - 日志创建成功,程序开始
2024-08-29 23:50:45.389 | INFO     | __main__:<module>:22 - 摄像头测试正常
2024-08-29 23:50:45.389 | INFO     | __main__:<module>:26 - yolov5s模型加载成功
2024-08-29 23:50:45.389 | INFO     | __main__:<module>:28 - openpose模型加载成功
2024-08-29 23:50:45.389 | INFO     | __main__:<module>:30 - 进行人工对位5秒钟时间
2024-08-29 23:50:51.830 | INFO     | __main__:<module>:38 - 开始进行初始化动作骨骼识别
2024-08-29 23:51:38.706 | INFO     | __main__:<module>:13 - 日志创建成功,程序开始
2024-08-29 23:51:41.268 | INFO     | __main__:<module>:22 - 摄像头测试正常
2024-08-29 23:51:41.268 | INFO     | __main__:<module>:26 - yolov5s模型加载成功
2024-08-29 23:51:41.268 | INFO     | __main__:<module>:28 - openpose模型加载成功
2024-08-29 23:51:41.269 | INFO     | __main__:<module>:30 - 进行人工对位5秒钟时间
2024-08-29 23:52:45.015 | INFO     | __main__:<module>:13 - 日志创建成功,程序开始
2024-08-29 23:52:47.638 | INFO     | __main__:<module>:22 - 摄像头测试正常
2024-08-29 23:52:47.638 | INFO     | __main__:<module>:26 - yolov5s模型加载成功
2024-08-29 23:52:47.638 | INFO     | __main__:<module>:28 - openpose模型加载成功
2024-08-29 23:52:47.638 | INFO     | __main__:<module>:30 - 进行人工对位5秒钟时间
2024-08-29 23:52:52.723 | INFO     | __main__:<module>:41 - 开始进行初始化动作骨骼识别
2024-08-29 23:55:09.209 | INFO     | __main__:<module>:13 - 日志创建成功,程序开始
2024-08-29 23:55:11.828 | INFO     | __main__:<module>:22 - 摄像头测试正常
2024-08-29 23:55:11.828 | INFO     | __main__:<module>:26 - yolov5s模型加载成功
2024-08-29 23:55:11.828 | INFO     | __main__:<module>:28 - openpose模型加载成功
2024-08-29 23:55:11.828 | INFO     | __main__:<module>:30 - 进行人工对位5秒钟时间
2024-08-29 23:55:11.846 | INFO     | __main__:<module>:40 - 开始进行初始化动作骨骼识别
2024-08-29 23:58:49.545 | INFO     | __main__:<module>:13 - 日志创建成功,程序开始
2024-08-29 23:58:52.467 | INFO     | __main__:<module>:22 - 摄像头测试正常
2024-08-29 23:58:52.467 | INFO     | __main__:<module>:26 - yolov5s模型加载成功
2024-08-29 23:58:52.467 | INFO     | __main__:<module>:28 - openpose模型加载成功
2024-08-29 23:58:52.467 | INFO     | __main__:<module>:30 - 进行人工对位5秒钟时间
2024-08-29 23:59:03.853 | INFO     | __main__:<module>:40 - 开始进行初始化动作骨骼识别
2024-08-30 09:48:35.626 | INFO     | __main__:<module>:13 - 日志创建成功,程序开始
2024-08-30 09:48:36.328 | INFO     | __main__:<module>:22 - 摄像头测试正常
2024-08-30 09:48:36.328 | INFO     | __main__:<module>:26 - yolov5s模型加载成功
2024-08-30 09:48:36.329 | INFO     | __main__:<module>:28 - openpose模型加载成功
2024-08-30 09:48:36.329 | INFO     | __main__:<module>:30 - 进行人工对位5秒钟时间
2024-08-30 09:48:41.922 | INFO     | __main__:<module>:40 - 开始进行初始化动作骨骼识别
2024-08-30 09:48:55.910 | INFO     | __main__:<module>:13 - 日志创建成功,程序开始
